"Longitude","Latitude","Country","RegistrationNumber","Binomial","Year","Decade"
109.657271,19.164059,"China","72.11.13.1","Manis pentadactyla",1868,1860
118.084287,24.485319,"China","72.11.13.4","Manis pentadactyla",1867,1860
118.084287,24.485319,"China","72.11.13.7","Manis pentadactyla",1867,1860
109.657271,19.164059,"China","72.11.13.8","Manis pentadactyla",1868,1860
119.422458,32.195559,"China","7.7.3.24","",1904,1900
116.680543,23.359016,"China","7.7.3.25","Manis pentadactyla",1900,1900
110.465033,21.104264,"China","38.9.7.57","Manis pentadactyla",1932,1930
101.449146,24.340163,"China","1996.498","Manis pentadactyla",1931,1930
-68.9414,-14.8278,"China","AMNH_M-57059","Manis pentadactyla",1921,1920
109.35,19.383333,"China","AMNH_M-59927","Manis pentadactyla",1923,1920
119.366669,25.716667,"China","FMNH_39384","Manis pentadactyla",1925,1920
118.166664,26.633333,"China","FMNH_39385","Manis pentadactyla",1921,1920
109.566666,19.516666,"China","FMNH_39386","Manis pentadactyla",1923,1920
109.566666,19.516666,"China","FMNH_39387","Manis pentadactyla",1923,1920
109.566666,19.516666,"China","FMNH_39388","Manis pentadactyla",1923,1920
109.550003,19.51667,"China","FMNH_146075","Manis pentadactyla",1923,1920
-4.68,7.82,"Côte d’Ivoire","USNM_465925","Manis tricuspis",1969,1960
-3.07,5.28,"Côte d’Ivoire","USNM_450073","Manis tricuspis",1969,1960
-3.47,7.43,"Côte d’Ivoire","USNM_576121","Manis tricuspis",1969,1960
-4.97,6.2,"Côte d’Ivoire","USNM_465920","Manis tricuspis",1969,1960
-3.47,7.43,"Côte d’Ivoire","USNM_465924","Manis tricuspis",1969,1960
-5.25,5.52,"Côte d’Ivoire","USNM_576120","Manis tricuspis",1969,1960
-3.47,7.43,"Côte d’Ivoire","USNM_465922","Manis tricuspis",1969,1960
-3.07,5.28,"Côte d’Ivoire","USNM_450072","Manis tricuspis",1969,1960
-3.47,7.43,"Côte d’Ivoire","USNM_465923","Manis tricuspis",1969,1960
-3.47,7.43,"Côte d’Ivoire","USNM_465926","Manis tricuspis",1969,1960
-5.25,5.52,"Côte d’Ivoire","USNM_465921","Manis tricuspis",1969,1960
-0.983333,5.916667,"Ghana","4.6.9.14","Phataginus tricuspis",1846,1840
-1.400363,7.053258,"Ghana","35.10.22.155","Phataginus tricuspis",1935,1930
-2.515088,6.801757,"Ghana","35.10.22.156","Phataginus tricuspis",1934,1930
-2.515088,6.801757,"Ghana","35.10.22.157","Phataginus tetradactyla",1934,1930
-0.983333,5.916667,"Ghana","46.498","Phataginus tetradactyla",1945,1940
-0.983333,5.916667,"Ghana","46.499","Phataginus tricuspis",1945,1940
-0.983333,5.916667,"Ghana","46.5","Phataginus tricuspis",1865,1860
-0.983333,5.916667,"Ghana","46.915","Phataginus tricuspis",1946,1940
-0.983333,5.916667,"Ghana","46.916","Phataginus tricuspis",1946,1940
-2.916667,6.666667,"Ghana","76.1813","Phataginus tricuspis",1971,1970
-0.98333,5.91667,"Ghana","FMNH_54682","Manis tetradactyla",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62211","Manis tetradactyla",1946,1940
-0.98333,5.91667,"Ghana","FMNH_54447","Manis tetradactyla",1945,1940
-0.98333,5.91667,"Ghana","FMNH_62205","Manis tricuspis",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62206","Manis tricuspis",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62207","Manis tricuspis",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62208","Manis tricuspis",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62209","Manis tetradactyla",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62210","Manis tetradactyla",1946,1940
-0.98333,5.91667,"Ghana","FMNH_62768","Manis tricuspis",1946,1940
-0.2,5.7,"Ghana","USNM_412726","Manis tricuspis",1967,1960
-1.8,8.07,"Ghana","USNM_435022","Manis tricuspis",1968,1960
-1.77,6.08,"Ghana","USNM_465928","Manis tricuspis",1969,1960
-1.77,6.08,"Ghana","USNM_465927","Manis tricuspis",1969,1960
92.627435,26.519279,"India","21.8.2.27","Manis pentadactyla",1920,1920
92.627435,26.519279,"India","47.326","Manis pentadactyla",1940,1940
91.76667,25.466669,"India","FMNH_84812","Manis pentadactyla",1954,1950
91.76667,25.466669,"India","FMNH_75874","Manis pentadactyla",1953,1950
91.76667,25.466669,"India","FMNH_75875","Manis pentadactyla",1953,1950
91.76667,25.466669,"India","FMNH_75877","Manis pentadactyla",1952,1950
91.76667,25.466669,"India","FMNH_75878","Manis pentadactyla",1952,1950
91.76667,25.466669,"India","FMNH_75879","Manis pentadactyla",1952,1950
91.76667,25.466669,"India","FMNH_75880","Manis pentadactyla",1953,1950
76.466667,15.31667,"India","FMNH_82823","Manis crassicaudata",1922,1920
106.805283,-6.597521,"Indonesia","9.1.5.856","Manis javanica",1907,1900
106.805283,-6.597521,"Indonesia","9.1.5.857","Manis javanica",1907,1900
108.216158,-7.350731,"Indonesia","9.1.5.858","Manis javanica",1907,1900
108.649375,-7.682541,"Indonesia","9.1.5.859","Manis javanica",1908,1900
106.842902,-6.209753,"Indonesia","9.1.5.860","Manis javanica",1908,1900
108.550401,-6.731546,"Indonesia","39.2648","Manis javanica",1929,1920
108.550401,-6.731546,"Indonesia","39.2651","Manis javanica",1929,1920
108.333333,-6.466667,"Indonesia","AMNH_M-101732","Manis javanica",1932,1930
108.333333,-6.466667,"Indonesia","AMNH_M-101730","Manis javanica",1932,1930
108.333333,-6.466667,"Indonesia","AMNH_M-101731","Manis javanica",1932,1930
